key_resp_inst.keys,key_resp_inst.rt,key_resp1_seg.keys,key_resp1_seg.rt,key_resp1_end.keys,key_resp2_seg.keys,key_resp2_seg.rt,key_resp2_end.keys,key_resp3_seg.keys,key_resp3_seg.rt,key_resp3_end.keys,participant,session,date,expName,psychopyVersion,frameRate,
['space'],[17.667961099999957],,,,,,,,,,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.735091700043995, 8.902293500024825, 11.669013100035954, 14.919035200029612, 21.452516800025478, 26.635857000015676, 29.050386300019454, 32.484807100030594, 45.31824170000618, 53.619038700009696, 56.21832380001433, 62.10149580001598, 67.53366660000756, 71.19999370002188, 72.95016330003273, 78.10061950003728, 82.96699159999844, 87.76698260003468, 93.46748660004232, 104.38364630000433, 107.83361780003179, 111.76682720001554, 118.81691039999714, 125.25076980004087, 127.06683409999823, 128.00023870001314, 133.60149950004416, 136.63324490003288, 139.10139760002494, 163.13571160001447, 175.94993970001815, 186.71704800002044, 192.98326370003633, 203.5833072999958, 213.41837979998672]",,,,,,,,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
,,,,None,,,,,,,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[10.150882400048431, 19.217259600001853, 19.98511500004679, 24.00048740004422, 28.50208930001827, 34.10101169999689, 37.41698229999747, 42.785037700028624, 45.68428040004801, 47.683548100001644, 55.01824320002925, 60.76883210003143, 65.78442040004302, 73.0508250000421, 84.23450960003538, 90.66704840003513, 95.83403760002693, 98.61877240001922, 107.50079650001135, 111.48280019999947, 115.31766240001889, 123.48347289999947, 128.58343980001519, 134.48519470001338, 137.535467800044, 144.15056160005042, 149.35076729999855, 155.4006747000385, 159.56715650000842, 172.7349163000472, 182.1004976000404]",,,,,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
,,,,,,,None,,,,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.1341906000161543, 5.434142199985217, 10.900749600026757, 16.03519070002949, 20.53365090000443, 28.583302600018214, 37.83563809999032, 39.41754170000786, 48.916750099975616, 56.98289779998595, 68.83396279998124, 84.58394420001423, 86.80155839998042, 96.96727670001565, 107.60058520000894, 116.51888589997543, 126.28419420000864, 139.8173673999845, 145.80143589997897, 146.9672260999796, 154.13326470000902, 164.06763050000882, 166.95073300000513, 181.73406109999632, 188.8346620000084]",,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
,,,,,,,,,,None,28230,001,2019_May_09_0930,segmenting_ilabs,3.0.7,59.97062640089465,
