15.4560 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
17.2938 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001330607D940>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001330F9F2278>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.2939 	EXP 	window1: recordFrameIntervals = False
17.4584 	EXP 	window1: recordFrameIntervals = True
17.6429 	EXP 	window1: recordFrameIntervals = False
18.0933 	EXP 	Created txt_instrcution = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='txt_instrcution', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
18.1107 	EXP 	Created txt_imi = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='txt_imi', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
19.4442 	EXP 	Created movie2_video = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stimuliSet\\v7\\seg\\v7_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie2_video', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 360.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
19.4462 	EXP 	Created txt_imi = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='txt_imi', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
19.5452 	EXP 	Created movie3_seg = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-2.0, filename='stimuliSet\\v1\\seg\\v1_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie3_seg', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 352.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
19.5508 	EXP 	movie2_video: movie = 'stimuliSet\\v7\\seg\\v7_comb.avi'
19.5508 	EXP 	movie2_video: autoLog = True
19.5508 	EXP 	movie3_seg: movie = 'stimuliSet\\v1\\seg\\v1_comb.avi'
19.5508 	EXP 	movie3_seg: autoLog = True
19.5508 	EXP 	txt_instrcution: autoDraw = True
46.6777 	DATA 	Keypress: space
46.8091 	EXP 	Created movie1_video = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-2.0, filename='stimuliSet\\v5\\seg\\v5_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie1_video', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 352.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
46.8189 	EXP 	txt_instrcution: autoDraw = False
46.8189 	EXP 	movie1_video: movie = 'stimuliSet\\v5\\seg\\v5_comb.avi'
46.8189 	EXP 	movie1_video: autoLog = True
46.8189 	EXP 	movie1_video: autoDraw = True
49.7282 	DATA 	Keypress: space
51.1597 	DATA 	Keypress: space
53.1095 	DATA 	Keypress: space
54.6938 	DATA 	Keypress: space
56.1781 	DATA 	Keypress: space
57.7262 	DATA 	Keypress: space
62.5598 	DATA 	Keypress: space
65.8930 	DATA 	Keypress: space
69.1421 	DATA 	Keypress: space
74.6769 	DATA 	Keypress: space
79.1432 	DATA 	Keypress: space
82.9266 	DATA 	Keypress: space
90.7442 	DATA 	Keypress: space
93.5096 	DATA 	Keypress: space
95.6775 	DATA 	Keypress: space
101.1433 	DATA 	Keypress: space
106.3103 	DATA 	Keypress: space
109.1597 	DATA 	Keypress: space
111.4096 	DATA 	Keypress: space
116.1937 	DATA 	Keypress: space
118.4928 	DATA 	Keypress: space
120.9935 	DATA 	Keypress: space
126.1935 	DATA 	Keypress: space
129.8763 	DATA 	Keypress: space
133.5261 	DATA 	Keypress: space
136.6261 	DATA 	Keypress: space
139.2100 	DATA 	Keypress: space
144.8094 	DATA 	Keypress: space
150.5760 	DATA 	Keypress: space
156.3762 	DATA 	Keypress: space
162.0760 	DATA 	Keypress: space
169.9094 	DATA 	Keypress: space
173.4765 	DATA 	Keypress: space
177.1262 	DATA 	Keypress: space
179.9092 	DATA 	Keypress: space
184.2763 	DATA 	Keypress: space
186.5431 	DATA 	Keypress: space
190.8928 	DATA 	Keypress: space
194.4601 	DATA 	Keypress: space
197.5270 	DATA 	Keypress: space
202.9927 	DATA 	Keypress: space
207.2755 	DATA 	Keypress: space
211.9443 	DATA 	Keypress: space
216.6928 	DATA 	Keypress: space
218.6295 	DATA 	Keypress: space
223.5103 	DATA 	Keypress: space
226.5093 	DATA 	Keypress: space
232.2759 	DATA 	Keypress: space
240.7919 	EXP 	movie1_video: autoDraw = False
240.7919 	EXP 	movie1_video: autoDraw = False
240.7919 	EXP 	txt_imi: autoDraw = True
243.7918 	EXP 	txt_imi: autoDraw = False
243.7918 	EXP 	txt_imi: autoDraw = False
243.7918 	EXP 	movie2_video: autoDraw = True
244.6290 	DATA 	Keypress: space
251.6591 	DATA 	Keypress: space
265.2925 	DATA 	Keypress: space
271.0288 	DATA 	Keypress: space
299.7936 	DATA 	Keypress: space
306.1259 	DATA 	Keypress: space
314.1772 	DATA 	Keypress: space
315.0915 	DATA 	Keypress: space
316.3759 	DATA 	Keypress: space
317.7762 	DATA 	Keypress: space
326.6090 	DATA 	Keypress: space
333.2924 	DATA 	Keypress: space
338.0590 	DATA 	Keypress: space
356.4932 	DATA 	Keypress: space
363.2265 	DATA 	Keypress: space
369.4929 	DATA 	Keypress: space
372.2601 	DATA 	Keypress: space
378.1429 	DATA 	Keypress: space
383.3922 	DATA 	Keypress: space
387.7101 	DATA 	Keypress: space
396.6756 	DATA 	Keypress: space
406.5756 	DATA 	Keypress: space
412.0589 	DATA 	Keypress: space
426.5426 	DATA 	Keypress: space
445.7921 	DATA 	Keypress: space
449.9437 	DATA 	Keypress: space
460.8289 	DATA 	Keypress: space
464.7914 	EXP 	movie2_video: autoDraw = False
464.7914 	EXP 	movie2_video: autoDraw = False
464.7914 	EXP 	txt_imi: autoDraw = True
467.7914 	EXP 	txt_imi: autoDraw = False
467.7914 	EXP 	txt_imi: autoDraw = False
467.7914 	EXP 	movie3_seg: autoDraw = True
471.9426 	DATA 	Keypress: space
477.8753 	DATA 	Keypress: space
494.1086 	DATA 	Keypress: space
508.1755 	DATA 	Keypress: space
516.2767 	DATA 	Keypress: space
529.0919 	DATA 	Keypress: space
537.0284 	DATA 	Keypress: space
545.2430 	DATA 	Keypress: space
546.7749 	DATA 	Keypress: space
550.9595 	DATA 	Keypress: space
559.1087 	DATA 	Keypress: space
564.4252 	DATA 	Keypress: space
569.2283 	DATA 	Keypress: space
579.9763 	DATA 	Keypress: space
595.4085 	DATA 	Keypress: space
599.7261 	DATA 	Keypress: space
607.4284 	DATA 	Keypress: space
616.2918 	DATA 	Keypress: space
623.6752 	DATA 	Keypress: space
630.3753 	DATA 	Keypress: space
639.4251 	DATA 	Keypress: space
650.3418 	DATA 	Keypress: space
652.6580 	EXP 	window1: mouseVisible = True
