17.6032 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
19.6856 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CC96E8D940>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CC98702278>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.6857 	EXP 	window1: recordFrameIntervals = False
19.8509 	EXP 	window1: recordFrameIntervals = True
20.0347 	EXP 	window1: recordFrameIntervals = False
20.5624 	EXP 	Created txt_instrcution = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='txt_instrcution', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
20.5997 	EXP 	Created txt_imi = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='txt_imi', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
22.2683 	EXP 	Created movie2_video = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stimuliSet\\v1\\seg\\v1_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie2_video', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 352.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
22.2703 	EXP 	Created txt_imi = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='txt_imi', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
22.3750 	EXP 	Created movie3_seg = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-2.0, filename='stimuliSet\\v7\\seg\\v7_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie3_seg', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 360.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
22.3807 	EXP 	movie2_video: movie = 'stimuliSet\\v1\\seg\\v1_comb.avi'
22.3807 	EXP 	movie2_video: autoLog = True
22.3807 	EXP 	movie3_seg: movie = 'stimuliSet\\v7\\seg\\v7_comb.avi'
22.3807 	EXP 	movie3_seg: autoLog = True
22.3807 	EXP 	txt_instrcution: autoDraw = True
53.9346 	DATA 	Keypress: space
54.0490 	EXP 	Created movie1_video = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-2.0, filename='stimuliSet\\v5\\seg\\v5_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie1_video', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 352.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
54.0620 	EXP 	txt_instrcution: autoDraw = False
54.0620 	EXP 	movie1_video: movie = 'stimuliSet\\v5\\seg\\v5_comb.avi'
54.0620 	EXP 	movie1_video: autoLog = True
54.0620 	EXP 	movie1_video: autoDraw = True
56.2342 	DATA 	Keypress: space
58.5022 	DATA 	Keypress: space
64.2523 	DATA 	Keypress: space
67.5851 	DATA 	Keypress: space
69.9855 	DATA 	Keypress: space
70.9858 	DATA 	Keypress: space
72.8179 	DATA 	Keypress: space
77.1856 	DATA 	Keypress: space
79.2005 	DATA 	Keypress: space
82.0355 	DATA 	Keypress: space
86.2014 	DATA 	Keypress: space
90.0356 	DATA 	Keypress: space
92.3003 	DATA 	Keypress: space
97.9345 	DATA 	Keypress: space
103.0523 	DATA 	Keypress: space
109.1013 	DATA 	Keypress: space
113.6838 	DATA 	Keypress: space
117.0013 	DATA 	Keypress: space
118.4346 	DATA 	Keypress: space
124.7342 	DATA 	Keypress: space
128.2506 	DATA 	Keypress: space
132.8182 	DATA 	Keypress: space
137.0360 	DATA 	Keypress: space
139.8850 	DATA 	Keypress: space
143.4344 	DATA 	Keypress: space
152.0016 	DATA 	Keypress: space
156.9346 	DATA 	Keypress: space
163.3677 	DATA 	Keypress: space
169.4012 	DATA 	Keypress: space
176.8015 	DATA 	Keypress: space
179.2520 	DATA 	Keypress: space
184.2195 	DATA 	Keypress: space
186.2355 	DATA 	Keypress: space
191.6179 	DATA 	Keypress: space
193.9512 	DATA 	Keypress: space
197.8509 	DATA 	Keypress: space
200.8020 	DATA 	Keypress: space
204.5835 	DATA 	Keypress: space
210.3676 	DATA 	Keypress: space
