key_resp_inst.keys,key_resp_inst.rt,key_resp1_seg.keys,key_resp1_seg.rt,key_resp1_end.keys,key_resp2_seg.keys,key_resp2_seg.rt,key_resp2_end.keys,key_resp3_seg.keys,key_resp3_seg.rt,key_resp3_end.keys,participant,session,date,expName,psychopyVersion,frameRate,
['space'],[12.038150599997607],,,,,,,,,,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.33709670000826, 9.987724899998284, 14.00473110000894, 17.13724789999833, 23.720400899997912, 27.706100499999593, 36.120411099997, 42.73783189999813, 48.63776480000524, 58.50451320000866, 60.33712359999481, 64.53781049999816, 69.92049550000229, 83.17092530000082, 89.08766839999589, 101.15445489999547, 107.88649430000805, 122.85423130000709, 130.03767510000034, 143.47098830000323, 150.88645720000204, 162.68757819999882, 174.63780890000635, 179.68724519999523]",,,,,,,,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
,,,,None,,,,,,,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[21.951014200007194, 61.90092280000681, 82.26747220000834, 94.91683480000938, 101.23296639999899, 111.61790409999958, 121.5672215000086, 135.7502528000041, 153.6176936999982, 176.95010040000489]",,,,,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
,,,,,,,None,,,,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[19.682830500009004, 37.383477700001094, 43.85074180000811, 50.467665100004524, 81.3834826000093, 113.86749910000071, 162.383379100007, 203.51725160000206]",,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
,,,,,,,,,,None,28310,001,2019_May_15_1728,segmenting_ilabs,3.0.7,60.02591919185935,
