Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
79.000000	4066.666667	4500.512821	4208.717949	4460.000000	4122.051282	4543.076923	4202.564103	4838.974359	4242.051282	4472.307692	4229.743590	4352.820513	4463.076923	4467.692308	1607.000000	2103.000000	33.819000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
80.000000	4063.589744	4500.512821	4205.641026	4460.512821	4120.512821	4544.615385	4201.538462	4839.487179	4243.076923	4472.307692	4228.717949	4350.769231	4465.641026	4468.205128	1611.000000	2107.000000	33.827000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
81.000000	4062.564103	4501.025641	4201.025641	4461.538462	4121.025641	4545.641026	4204.102564	4838.461538	4244.102564	4471.282051	4229.743590	4350.256410	4464.615385	4469.230769	1611.000000	2103.000000	33.835000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
82.000000	4065.641026	4500.512821	4205.128205	4460.512821	4122.564103	4542.051282	4201.538462	4838.974359	4244.102564	4471.282051	4232.307692	4350.769231	4465.128205	4468.205128	1607.000000	2107.000000	33.843000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
83.000000	4064.615385	4502.051282	4209.230769	4461.025641	4126.666667	4544.102564	4201.538462	4840.000000	4243.076923	4472.307692	4231.282051	4349.230769	4462.564103	4467.179487	1611.000000	2103.000000	33.851000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
84.000000	4065.641026	4502.051282	4206.666667	4459.487179	4122.051282	4542.564103	4200.000000	4841.025641	4242.564103	4472.307692	4231.794872	4352.820513	4462.564103	4470.256410	1607.000000	2107.000000	33.859000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
85.000000	4063.076923	4501.538462	4206.153846	4460.000000	4120.512821	4543.589744	4203.589744	4838.461538	4241.538462	4470.769231	4230.769231	4353.846154	4462.564103	4468.205128	1611.000000	2107.000000	33.866000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
86.000000	4062.564103	4500.000000	4210.769231	4461.025641	4122.564103	4541.538462	4202.564103	4839.487179	4243.076923	4473.333333	4231.282051	4352.307692	4466.666667	4464.615385	1607.000000	2103.000000	33.874000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
87.000000	4061.538462	4498.974359	4208.717949	4462.051282	4125.641026	4544.615385	4205.128205	4840.000000	4243.589744	4472.820513	4231.282051	4350.256410	4464.615385	4465.641026	1607.000000	2107.000000	33.882000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
88.000000	4063.589744	4499.487179	4206.666667	4461.025641	4123.589744	4541.538462	4205.641026	4840.000000	4244.615385	4471.282051	4230.769231	4349.230769	4463.589744	4471.282051	1607.000000	2103.000000	33.890000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
