"subject","V.1","V.2","V.3"
28211,21,21,11
28215,13,32,7
28220,23,35,13
28221,10,37,64
28230,12,8,11
28239,10,8,15
28241,29,15,37
28242,25,25,8
28243,34,26,21
28245,49,43,21
28284,19,49,81
28305,16,10,25
28306,18,10,28
28307,19,31,39
28310,21,65,9
28318,15,36,12
28325,28,50,26
28326,9,42,79
28328,9,21,9
28329,35,8,32
28330,12,29,46
